id,school,committee_no,circle,table_1,gender,table_2,address,voter_count,committee_count,tag
62,مدرسة رقيه المتوسطه للبنات,6,4,العمرية,اناث,,العمرية ق 4 الشارع الرئيسي,3083,3,"{أمة 24, الدائرة 4, اناث, العمرية}"
63,ثانوية الرابيه للبنات,7,4,الرابية,ذكور,,الرابيه ق 4 الشارع الاول,2807,3,"{أمة 24, الدائرة 4, ذكور, الرابية}"
64,مدرسة زيد الحرب الابتدائية للبنين,8,4,الرابية,اناث,,الرابيه ق 4 ش 9,3228,4,"{أمة 24, الدائرة 4, اناث, الرابية}"
65,ثانوية حواء بنت يزيد الأنصارية للبنات,9,4,الرقعي والأندلس,ذكور,,الاندلس ق 9 الشارع الرئيسي,5909,4,"{أمة 24, الدائرة 4, ذكور, الرقعي والأندلس}"
66,ثانوية سلمان الفارسي للبنين,10,4,الرقعي والأندلس,اناث,,الاندلس ق 8 الشارع الرئيسي,6480,6,"{أمة 24, الدائرة 4, اناث, الرقعي والأندلس}"
67,مدرسة عبد الله الرومي الابتدائية للبنين,11,4,ضاحية صباح الناصر,ذكور,الصليبية والمساكن الحكومية,صباح الناصر ق 2 الشارع الاول,7109,4,"{أمة 24, الدائرة 4, ذكور, ضاحية صباح الناصر}"
68,مدرسة سلمى بنت عميس الابتدائية للبنات,12,4,ضاحية صباح الناصر,اناث,الصليبية والمساكن الحكومية,صباح الناصر ق 7 شارع 109,9152,7,"{أمة 24, الدائرة 4, اناث, ضاحية صباح الناصر}"
69,محمد ناهض العتيبي المتوسطة للبنين,13,4,الرحاب,ذكور,اشبيلية,الرحاب قطعة 2 شارع قشيعان المطيري,7776,3,"{أمة 24, الدائرة 4, ذكور, الرحاب}"
70,أميمة بنت النعمان المتوسطة للبنات,14,4,الرحاب,اناث,اشبيلية,الرحاب قطعة 1 شارع قشيعان المطيري,8336,4,"{أمة 24, الدائرة 4, اناث, الرحاب}"
71,مدرسة صالح الرويح المتوسطه للبنين,15,4,العارضية,ذكور,,العارضيه ق 5 ش 57 بجوار السنترال,9206,8,"{أمة 24, الدائرة 4, ذكور, العارضية}"
72,مدرسة أم الخير الابتدائية للبنات,16,4,العارضية,اناث,,العارضيه ق 10 الشارع الاول,10054,9,"{أمة 24, الدائرة 4, اناث, العارضية}"
73,مدرسة الشدادية المتوسطة للبنين,17,4,عبدالله المبارك,ذكور,,,11316,8,"{أمة 24, الدائرة 4, ذكور, عبدالله المبارك}"
74,مدرسة العبدلية المتوسطة للبنات,18,4,عبدالله المبارك,اناث,,,10868,8,"{أمة 24, الدائرة 4, اناث, عبدالله المبارك}"
75,ثانوية سعد العبداللة للبنين,19,4,سعد العبدالله,ذكور,,-,16350,5,"{أمة 24, الدائرة 4, ذكور, سعد العبدالله}"
76,ثانوية نورية الصبيح للبنات,20,4,سعد العبدالله,إناث,,-,15241,3,"{أمة 24, الدائرة 4, إناث, سعد العبدالله}"
77,مدرسة محمد صالح العدساني للبنين,21,4,الجهراء والبر,ذكور,,-,2137,3,"{أمة 24, الدائرة 4, ذكور, الجهراء والبر}"
78,مدرسة المقداد بن الأسود المتوسطة للبنين,22,4,الجهراء والبر,إناث,,-,2317,3,"{أمة 24, الدائرة 4, إناث, الجهراء والبر}"
79,مدرسة الواحه الابتدائية للبنات,23,4,الجهراء ومنطقة البر,ذكور,,الواحه ق 1 ش المدارس,10505,10,"{أمة 24, الدائرة 4, ذكور, الجهراء ومنطقة البر}"
80,مدرسة بشيره بنت النعمان الابتدائية للبنات,24,4,الجهراء ومنطقة البر,اناث,,الواحه ق 3  ش المدارس,11410,11,"{أمة 24, الدائرة 4, اناث, الجهراء ومنطقة البر}"
81,مدرسة أم البراء بنت صفوان الابتدائية للبنات,25,4,الجهراء الجديده,ذكور,مدينة سعد العبدالله,القصر ق 3  ش نصر بن سيار,8499,13,"{أمة 24, الدائرة 4, ذكور, الجهراء الجديده}"
82,مدرسة سيد هاشم الحنيان الابتدائية للبنين,26,4,الجهراء الجديده,اناث,مدينة سعد العبدالله,القصر ق 4 ب ش مسكين الدارمي,9111,14,"{أمة 24, الدائرة 4, اناث, الجهراء الجديده}"
83,ثانوية آمنة بنت الأرقم المخزومية للبنات,27,4,النسيم,ذكور,-,-,4871,6,"{أمة 24, الدائرة 4, ذكور, النسيم}"
